ID_Credito,Cliente,Fecha_Solicitud,Monto_Solicitado,Tasa_Interes,Plazo_Meses,Ingreso_Mensual,Score_Credito,Aprobado,Estado_Credito,Fecha_Nacimiento
100058,Cliente 58,2020-02-28,2738.75,15.5,48,11853.28,845.0,No,Pagado,1949-10-28
100059,Cliente 59,2020-02-29,16603.85,10.96,12,4802.24,695.0,Sí,Activo,1982-03-17
100060,Cliente 60,2020-03-01,19739.53,23.56,60,8660.17,530.0,Sí,En Mora,1947-01-21
100061,Cliente 61,2020-03-02,13931.78,23.34,48,4115.61,327.0,Sí,Pagado,1963-01-31
100062,Cliente 62,2020-03-03,41522.51,14.3,36,12346.26,774.0,Sí,Pagado,1946-02-01
100063,Cliente 63,2020-03-04,18159.29,10.55,60,2102.27,594.0,No,En Mora,1986-11-26
100064,Cliente 64,2020-03-05,14406.26,19.35,60,12526.98,726.0,Sí,Activo,1961-12-25
100065,Cliente 65,2020-03-06,27363.46,4.29,48,9239.58,390.0,No,En Mora,1993-09-10
100066,Cliente 66,2020-03-07,7475.75,13.71,48,3210.19,414.0,Sí,Activo,1948-05-27
100067,Cliente 67,2020-03-08,40208.75,10.73,24,8359.51,458.0,Sí,Pagado,1979-08-03
100068,Cliente 68,2020-03-09,4190.26,23.29,24,4596.23,557.0,No,Pagado,1989-02-25
100069,Cliente 69,2020-03-10,49350.9,3.76,60,5190.28,672.0,No,En Mora,1983-12-05
100070,Cliente 70,2020-03-11,38726.12,15.39,24,5597.16,389.0,Sí,Activo,1972-04-12
100071,Cliente 71,2020-03-12,10336.43,19.42,36,1418.13,597.0,Sí,En Mora,1947-09-27
100072,Cliente 72,2020-03-13,773.34,13.93,12,14796.44,330.0,Sí,En Mora,1966-06-01
100073,Cliente 73,2020-03-14,40865.34,5.34,60,957.25,657.0,Sí,Activo,1994-09-24
100074,Cliente 74,2020-03-15,35489.44,24.41,12,10106.2,769.0,No,Pagado,1994-02-09
100075,Cliente 75,2020-03-16,36585.85,14.64,24,5882.8,427.0,Sí,Pagado,1993-08-17
100076,Cliente 76,2020-03-17,38677.88,16.71,48,9867.15,569.0,Sí,Pagado,1973-11-01
100077,Cliente 77,2020-03-18,4165.21,8.59,60,5665.6,797.0,Sí,Pagado,1971-11-10
100078,Cliente 78,2020-03-19,18244.05,13.9,24,10269.38,712.0,Sí,Activo,1995-03-10
100079,Cliente 79,2020-03-20,6235.52,12.73,36,11073.91,508.0,Sí,En Mora,1959-11-15
100080,Cliente 80,2020-03-21,43223.62,5.11,60,10513.01,605.0,No,En Mora,1988-10-05
100081,Cliente 81,2020-03-22,31353.26,5.78,60,2152.45,490.0,Sí,Activo,1966-12-02
100082,Cliente 82,2020-03-23,16879.45,21.51,48,10024.95,656.0,No,Activo,1979-12-17
100083,Cliente 83,2020-03-24,3646.14,8.66,60,4559.82,756.0,Sí,En Mora,1985-09-17
100084,Cliente 84,2020-03-25,15893.62,7.69,48,917.62,748.0,No,Activo,1997-11-30
100085,Cliente 85,2020-03-26,16596.57,14.36,24,6515.04,367.0,No,Pagado,1989-07-01
100086,Cliente 86,2020-03-27,36615.51,20.03,36,6786.37,766.0,Sí,Activo,1980-01-26
100087,Cliente 87,2020-03-28,32059.09,4.83,36,7274.02,659.0,Sí,Pagado,1982-05-19
100088,Cliente 88,2020-03-29,44417.03,15.9,60,10719.95,686.0,Sí,En Mora,1959-09-26
100089,Cliente 89,2020-03-30,23874.64,6.06,60,4978.24,427.0,Sí,Pagado,1982-04-13
100090,Cliente 90,2020-03-31,6419.92,4.28,24,5071.57,784.0,No,Activo,1953-09-18
100091,Cliente 91,2020-04-01,35805.62,4.63,48,1378.01,543.0,Sí,Pagado,1987-02-12
100092,Cliente 92,2020-04-02,38158.86,21.43,36,10458.91,318.0,Sí,En Mora,1955-04-02
100093,Cliente 93,2020-04-03,28283.22,6.04,48,8733.48,695.0,Sí,Activo,1991-09-13
100094,Cliente 94,2020-04-04,38662.88,4.47,24,5566.66,528.0,Sí,Activo,1987-08-14
100095,Cliente 95,2020-04-05,24942.88,12.91,36,10725.24,667.0,Sí,Activo,1956-08-24
100096,Cliente 96,2020-04-06,26375.28,21.65,36,8291.69,357.0,Sí,Activo,1955-09-19
100097,Cliente 97,2020-04-07,21663.28,9.14,12,7304.05,580.0,No,Activo,1998-04-03
100098,Cliente 98,2020-04-08,1758.25,12.57,24,7914.21,401.0,Sí,Pagado,1962-11-15
100099,Cliente 99,2020-04-09,5840.63,4.36,24,9727.05,347.0,Sí,Pagado,1999-11-27
100100,Cliente 100,2020-04-10,2055.74,13.16,12,10070.04,358.0,No,Pagado,1996-09-25
100101,Cliente 101,2020-04-11,32002.32,15.92,48,4689.89,460.0,Sí,Activo,1965-09-11
100102,Cliente 102,2020-04-12,16060.62,15.77,12,2540.78,402.0,No,En Mora,1981-12-07
100103,Cliente 103,2020-04-13,25674.25,10.65,24,2771.2,711.0,No,Pagado,1951-05-08
100104,Cliente 104,2020-04-14,45424.54,10.28,48,9771.17,482.0,No,Activo,1946-09-21
100105,Cliente 105,2020-04-15,12839.97,5.79,36,13156.66,716.0,Sí,En Mora,1945-06-24
100106,Cliente 106,2020-04-16,20813.95,11.39,12,6437.7,415.0,No,Pagado,1979-05-28
100107,Cliente 107,2020-04-17,37899.78,5.64,48,2958.04,698.0,No,Activo,1956-08-09
100108,Cliente 108,2020-04-18,11825.51,19.98,48,11470.74,736.0,No,Pagado,1961-08-31
100109,Cliente 109,2020-04-19,4310.51,24.27,48,12571.1,617.0,Sí,Activo,1958-03-05
100110,Cliente 110,2020-04-20,14842.7,24.36,12,13268.45,549.0,Sí,En Mora,1961-06-08
100111,Cliente 111,2020-04-21,8480.45,22.1,36,9299.06,746.0,Sí,Pagado,1968-07-28
100112,Cliente 112,2020-04-22,46520.03,16.42,48,12980.56,796.0,Sí,Activo,1947-12-13
100113,Cliente 113,2020-04-23,40501.96,18.57,12,723.52,642.0,Sí,Pagado,1981-11-09
100114,Cliente 114,2020-04-24,31853.49,9.63,24,2054.92,726.0,Sí,Pagado,1999-09-15
100115,Cliente 115,2020-04-25,43637.3,17.06,12,1842.35,539.0,No,Activo,1978-12-29
100116,Cliente 116,2020-04-26,40281.77,13.3,12,10832.77,358.0,No,Pagado,1954-10-26
100117,Cliente 117,2020-04-27,9735.22,13.86,12,1508.94,826.0,No,Pagado,1989-10-19
100118,Cliente 118,2020-04-28,44681.67,19.79,48,7697.28,502.0,No,Pagado,1992-02-03
100119,Cliente 119,2020-04-29,27197.44,9.56,12,7354.25,765.0,No,En Mora,1988-04-12
100120,Cliente 120,2020-04-30,40468.29,10.34,24,5005.2,595.0,No,Pagado,2001-11-14
100121,Cliente 121,2020-05-01,44856.52,23.38,48,13120.87,586.0,Sí,Activo,1963-06-12
100122,Cliente 122,2020-05-02,16241.17,4.71,24,2971.28,372.0,Sí,Pagado,1969-10-26
100123,###Cliente??,2020-05-03,5947.57,13.94,60,5610.71,822.0,Sí,Pagado,1988-05-09
100124,Cliente 124,2020-05-04,11782.79,23.13,12,11725.49,636.0,Sí,En Mora,2000-08-29
100125,Cliente 125,2020-05-05,21641.84,16.62,48,941.12,617.0,No,Pagado,1987-08-13
100126,Cliente 126,2020-05-06,40991.73,15.25,48,10257.78,502.0,Sí,En Mora,1956-02-22
100127,Cliente 127,2020-05-07,43106.16,8.87,12,12337.77,530.0,Sí,En Mora,2000-04-29
100128,Cliente 128,2020-05-08,844.13,10.88,36,14017.88,356.0,Sí,Activo,1976-07-21
100129,Cliente 129,2020-05-09,25781.99,21.82,36,13206.3,719.0,Sí,Pagado,1990-03-03
100130,Cliente 130,2020-05-10,21161.84,15.52,24,5131.07,579.0,Sí,En Mora,1965-07-23
100131,Cliente 131,2020-05-11,11494.34,14.57,12,9002.28,604.0,No,Pagado,1948-03-24
100132,Cliente 132,2020-05-12,6433.34,5.64,12,1620.76,765.0,Sí,Activo,1990-08-14
100133,Cliente 133,2020-05-13,17211.95,3.84,60,4239.12,473.0,Sí,Activo,1965-09-01
100134,Cliente 134,2020-05-14,47174.03,24.22,36,1866.22,565.0,No,Activo,1975-07-08
100135,Cliente 135,2020-05-15,16498.55,11.61,36,5070.22,546.0,No,Pagado,1996-05-11
100136,Cliente 136,2020-05-16,26180.14,16.47,12,13190.21,377.0,Sí,Pagado,1974-04-30
100137,Cliente 137,2020-05-17,35299.44,5.21,24,5533.92,552.0,Sí,En Mora,1982-07-28
100138,Cliente 138,2020-05-18,18499.67,18.19,12,8647.52,774.0,Sí,Pagado,1952-04-06
100139,Cliente 139,2020-05-19,48603.21,23.55,24,6784.02,475.0,No,Activo,2001-04-27
100140,Cliente 140,2020-05-20,48141.14,15.88,36,7154.29,720.0,Sí,Pagado,1999-10-22
100141,Cliente 141,2020-05-21,12963.22,6.21,60,14558.79,760.0,Sí,Activo,1965-06-05
100142,Cliente 142,2020-05-22,25113.8,16.01,48,4794.24,553.0,Sí,Activo,1996-01-25
100143,Cliente 143,2020-05-23,15393.48,19.98,36,9596.2,819.0,No,Pagado,1965-03-24
100144,Cliente 144,2020-05-24,14599.6,12.24,24,6590.91,406.0,Sí,Activo,1995-02-24
100145,Cliente 145,2020-05-25,2325.9,22.42,12,1386.62,470.0,Sí,Pagado,1987-02-21
100146,Cliente 146,2020-05-26,30673.43,17.45,36,7595.3,357.0,Sí,Pagado,1985-02-16
100147,Cliente 147,2020-05-27,25382.61,22.83,60,12293.48,636.0,Sí,Pagado,1948-04-29
100148,Cliente 148,2020-05-28,3048.2,16.91,24,1931.92,641.0,Sí,Pagado,1997-03-30
100149,Cliente 149,2020-05-29,14293.0,6.32,12,1509.08,589.0,Sí,Pagado,1985-10-13
100150,Cliente 150,2020-05-30,45459.16,10.16,48,2727.66,383.0,Sí,En Mora,1950-07-23
100151,Cliente 151,2020-05-31,12358.31,7.84,24,11583.8,416.0,No,Activo,1999-07-14
100152,Cliente 152,2020-06-01,7672.3,23.04,12,10997.93,833.0,Sí,Pagado,1951-05-22
100153,Cliente 153,2020-06-02,24727.91,19.85,48,8692.76,518.0,No,Activo,1971-11-29
100154,Cliente 154,2020-06-03,49289.7,18.04,12,7289.28,401.0,Sí,Activo,1968-10-09
100155,Cliente 155,2020-06-04,12481.74,9.97,48,13380.72,755.0,Sí,Activo,1953-12-09
100156,Cliente 156,2020-06-05,33770.71,7.46,48,11617.12,825.0,Sí,En Mora,1950-08-27
100157,Cliente 157,XX/YY/ZZZZ,38200.17,19.76,48,12273.16,565.0,Sí,Pagado,1954-08-28
100158,Cliente 158,2020-06-07,12263.06,13.69,12,12292.3,586.0,Sí,Activo,1999-09-17
100159,Cliente 159,2020-06-08,36546.71,8.35,48,9819.4,440.0,Sí,Activo,1969-02-14
100160,Cliente 160,2020-06-09,18705.27,16.76,24,7141.21,705.0,No,Pagado,1956-08-30
100161,Cliente 161,2020-06-10,31799.14,4.37,60,13037.83,592.0,No,Activo,1955-10-21
100162,Cliente 162,2020-06-11,31859.72,10.51,60,13927.11,330.0,Sí,Pagado,1962-11-04
100163,Cliente 163,2020-06-12,27020.85,13.57,48,845.19,470.0,Sí,Activo,1952-04-24
100164,Cliente 164,2020-06-13,4969.34,6.68,60,1247.55,654.0,Sí,Pagado,1950-11-14
100165,Cliente 165,2020-06-14,41847.47,24.67,60,14401.78,504.0,No,En Mora,1996-11-10
100166,Cliente 166,2020-06-15,16378.61,8.0,48,4518.83,777.0,Sí,En Mora,1993-01-09
100167,Cliente 167,2020-06-16,9732.67,6.3,48,13163.86,590.0,Sí,Pagado,1984-10-30
100168,Cliente 168,2020-06-17,2518.37,7.88,24,6137.53,410.0,Sí,Pagado,1951-05-06
100169,Cliente 169,2020-06-18,29749.2,20.03,36,2226.95,367.0,Sí,Activo,1967-03-07
100170,Cliente 170,2020-06-19,34039.44,12.65,12,1666.43,672.0,Sí,En Mora,1978-03-02
100171,Cliente 171,2020-06-20,1321.1,15.66,48,2769.36,495.0,Sí,En Mora,1954-12-28
100172,Cliente 172,2020-06-21,25848.61,3.95,48,4123.45,425.0,Sí,Activo,1996-07-06
100173,Cliente 173,2020-06-22,11711.54,4.24,60,7583.52,561.0,Sí,Activo,1986-07-30
100174,Cliente 174,2020-06-23,32436.05,13.09,24,10671.72,454.0,Sí,Pagado,1987-07-07
100175,Cliente 175,2020-06-24,9131.14,21.06,60,14802.78,407.0,Sí,Activo,1984-04-22
100176,Cliente 176,2020-06-25,34701.42,22.53,48,6901.85,722.0,Sí,Pagado,1988-01-12
100177,Cliente 177,2020-06-26,19643.4,5.36,48,8013.68,334.0,Sí,Pagado,1968-03-22
100178,Cliente 178,2020-06-27,46868.13,15.07,60,8066.33,343.0,Sí,Activo,1959-08-14
100179,Cliente 179,2020-06-28,7307.29,23.13,48,8321.8,715.0,Sí,Activo,1971-11-21
100180,Cliente 180,2020-06-29,17382.78,11.84,36,8007.24,584.0,No,Pagado,1967-06-04
100181,Cliente 181,2020-06-30,6116.94,21.34,12,627.23,746.0,No,En Mora,1953-08-27
100182,Cliente 182,2020-07-01,46272.33,6.37,12,525.01,817.0,Sí,En Mora,1998-11-16
100183,Cliente 183,2020-07-02,43928.3,23.61,12,1916.16,326.0,Sí,Pagado,1977-09-15
100184,Cliente 184,2020-07-03,13268.11,19.66,36,1972.57,526.0,No,Activo,1997-10-06
100185,Cliente 185,2020-07-04,33169.21,23.74,48,10721.01,724.0,Sí,Activo,1975-05-26
100186,Cliente 186,2020-07-05,40952.5,18.05,60,3471.28,667.0,Sí,Activo,1985-11-13
100187,Cliente 187,2020-07-06,27982.44,11.31,24,13473.35,609.0,No,En Mora,1972-01-27
100188,Cliente 188,2020-07-07,26717.7,23.67,48,13964.79,404.0,Sí,Pagado,1956-01-18
100189,Cliente 189,2020-07-08,12471.69,9.42,36,14650.45,317.0,Sí,En Mora,1982-07-27
100190,Cliente 190,2020-07-09,5108.59,10.64,36,14116.68,504.0,Sí,En Mora,1949-09-25
100191,Cliente 191,2020-07-10,44912.18,18.57,12,4442.38,342.0,Sí,Activo,1983-05-21
100192,Cliente 192,2020-07-11,45070.69,19.95,48,7891.76,388.0,Sí,Pagado,1985-09-15
100193,Cliente 193,2020-07-12,31838.52,23.48,12,3044.1,456.0,Sí,En Mora,1981-11-23
100194,Cliente 194,2020-07-13,17281.97,7.9,24,12190.04,565.0,Sí,Activo,1961-07-06
100195,Cliente 195,2020-07-14,17785.87,20.66,12,13382.26,433.0,Sí,Activo,1954-02-17
100196,Cliente 196,2020-07-15,36434.81,19.38,24,12843.69,763.0,Sí,Pagado,1967-07-02
100197,Cliente 197,2020-07-16,44906.96,4.87,36,6783.82,431.0,Sí,Activo,1985-01-21
100198,Cliente 198,2020-07-17,44410.78,11.83,12,11500.77,333.0,Sí,En Mora,1996-10-03
100199,Cliente 199,2020-07-18,39103.84,9.58,12,1914.9,382.0,Sí,Activo,1979-01-04
100200,Cliente 200,2020-07-19,32280.57,10.05,60,1083.55,431.0,Sí,Pagado,1947-10-16
100201,Cliente 201,2020-07-20,4664.93,24.63,36,11421.93,727.0,Sí,En Mora,1995-03-21
100202,Cliente 202,2020-07-21,8500.62,17.32,60,6667.65,503.0,Sí,Activo,1985-08-14
100203,Cliente 203,2020-07-22,44978.43,18.93,24,14935.46,635.0,Sí,Pagado,1972-08-10
100204,Cliente 204,2020-07-23,30518.24,24.5,24,1910.19,796.0,Sí,Pagado,1972-05-05
100205,Cliente 205,2020-07-24,955.25,11.61,36,12906.6,741.0,Sí,Pagado,1952-02-25
100206,Cliente 206,2020-07-25,5522.84,20.74,24,7459.75,557.0,Sí,Pagado,1966-05-09
100207,Cliente 207,2020-07-26,33343.34,12.84,36,12493.68,591.0,Sí,Activo,1980-07-11
100208,Cliente 208,2020-07-27,750.55,22.19,24,12348.35,424.0,No,Pagado,1961-11-22
100209,Cliente 209,2020-07-28,8460.0,7.38,48,13781.88,474.0,Sí,Pagado,1960-10-23
100210,Cliente 210,2020-07-29,27662.32,23.88,12,4818.83,791.0,Sí,Activo,1977-09-02
100211,Cliente 211,2020-07-30,34748.81,8.2,48,14272.09,379.0,No,En Mora,1992-05-21
100212,Cliente 212,2020-07-31,32772.08,10.51,36,2699.17,604.0,Sí,Pagado,1974-09-18
100213,Cliente 213,2020-08-01,11601.33,19.76,36,1688.55,809.0,No,En Mora,1946-09-29
100214,Cliente 214,2020-08-02,35752.87,11.97,48,6758.43,643.0,No,Pagado,1962-11-25
100215,Cliente 215,2020-08-03,12243.83,16.58,12,12510.68,390.0,Sí,Pagado,1951-12-17
100216,Cliente 216,2020-08-04,16607.29,13.06,12,7364.61,468.0,No,Activo,1973-02-12
100217,Cliente 217,2020-08-05,37451.32,19.46,60,12524.66,633.0,No,Activo,1991-05-06
100218,Cliente 218,2020-08-06,32656.83,8.41,24,11080.46,535.0,No,Activo,1997-07-14
100219,Cliente 219,2020-08-07,42536.56,4.76,60,3536.71,698.0,Sí,Activo,1945-12-29
100220,Cliente 220,2020-08-08,33051.84,9.95,12,14258.78,776.0,Sí,Activo,1980-09-29
100221,Cliente 221,2020-08-09,28631.28,13.7,48,1381.33,834.0,Sí,Activo,1954-08-11
100222,Cliente 222,2020-08-10,5136.9,7.11,24,13525.06,387.0,Sí,Activo,1999-07-06
100223,Cliente 223,2020-08-11,18701.93,11.13,48,4914.43,552.0,Sí,Activo,1969-03-21
100224,Cliente 224,2020-08-12,13627.52,12.1,60,7752.15,657.0,Sí,Activo,1970-09-17
100225,Cliente 225,2020-08-13,12577.49,4.73,36,6624.1,357.0,No,Pagado,1957-01-28
100226,Cliente 226,2020-08-14,48664.02,16.04,48,2991.6,698.0,Sí,Pagado,1998-04-18
100227,Cliente 227,2020-08-15,19958.34,22.51,60,5693.13,820.0,No,Pagado,1995-08-09
100228,Cliente 228,2020-08-16,44656.3,6.76,60,3297.55,824.0,Sí,Activo,1970-12-17
100229,Cliente 229,2020-08-17,31741.36,16.35,60,3456.35,716.0,Sí,Activo,1994-03-27
100230,Cliente 230,2020-08-18,39843.16,17.79,36,3212.32,692.0,Sí,Activo,1970-09-17
100231,Cliente 231,2020-08-19,25380.54,12.52,36,7590.75,521.0,Sí,Pagado,1957-07-03
100232,Cliente 232,2020-08-20,29056.74,18.57,36,12070.0,628.0,No,En Mora,1960-03-06
100233,Cliente 233,2020-08-21,24879.63,12.33,24,8750.07,671.0,Sí,Pagado,1945-11-12
100234,Cliente 234,2020-08-22,10164.53,14.35,36,13451.5,810.0,Sí,Activo,1968-07-21
100235,Cliente 235,2020-08-23,36261.38,3.66,36,9729.9,452.0,Sí,Activo,1955-12-23
100236,Cliente 236,2020-08-24,14398.23,18.37,36,10495.43,779.0,Sí,Activo,1971-03-14
100237,Cliente 237,2020-08-25,1703.64,17.72,48,10180.3,319.0,Sí,Pagado,1948-11-15
100238,Cliente 238,2020-08-26,32450.88,4.33,36,7017.16,527.0,Sí,Pagado,1975-07-05
100239,Cliente 239,2020-08-27,9266.98,11.42,24,10495.41,645.0,Sí,Pagado,1998-07-26
100240,###Cliente??,2020-08-28,47052.7,24.55,60,1510.76,318.0,Sí,Pagado,1989-11-04
100241,Cliente 241,2020-08-29,47719.46,12.55,48,12967.85,743.0,Sí,Activo,1971-10-11
100242,Cliente 242,2020-08-30,45785.79,14.29,12,11778.28,667.0,No,Pagado,1958-10-04
100243,Cliente 243,2020-08-31,18822.86,23.06,36,4055.83,446.0,Sí,En Mora,2002-04-18
100244,Cliente 244,2020-09-01,1265.1,18.92,60,11636.47,803.0,Sí,En Mora,1972-01-05
100245,Cliente 245,2020-09-02,46451.77,16.01,60,683.32,729.0,Sí,En Mora,1976-04-08
100246,Cliente 246,2020-09-03,21695.12,20.65,48,3650.08,739.0,No,Pagado,1968-11-08
100247,Cliente 247,2020-09-04,48349.41,22.08,12,1444.49,497.0,No,Activo,1994-03-17
100248,Cliente 248,2020-09-05,48199.19,13.32,24,11813.29,586.0,No,En Mora,1994-08-05
100249,Cliente 249,2020-09-06,42723.97,13.71,60,11460.18,668.0,Sí,Activo,1980-04-24
100250,Cliente 250,2020-09-07,15075.22,11.8,60,12297.72,539.0,Sí,Pagado,1962-09-10
100251,Cliente 251,2020-09-08,19562.34,24.28,60,564.98,586.0,Sí,Activo,1954-11-12
100252,Cliente 252,2020-09-09,42631.27,18.49,60,7767.87,694.0,No,Pagado,1958-07-09
100253,Cliente 253,XX/YY/ZZZZ,16187.64,5.29,48,10720.12,817.0,Sí,Activo,1957-06-30
100254,Cliente 254,2020-09-11,8889.89,22.05,12,2753.32,359.0,Sí,En Mora,1989-07-09
100255,Cliente 255,2020-09-12,28061.66,13.83,60,9921.97,844.0,No,Pagado,1981-12-02
100256,Cliente 256,2020-09-13,46839.66,4.98,24,1719.6,602.0,Sí,Pagado,1974-09-03
100257,Cliente 257,2020-09-14,34953.47,15.32,24,3129.22,543.0,Sí,Activo,1995-07-10
100258,Cliente 258,2020-09-15,28718.03,12.47,36,7399.05,506.0,Sí,Pagado,1994-09-21
100259,Cliente 259,2020-09-16,5310.24,22.37,60,9976.69,674.0,Sí,Activo,1965-06-12
100260,Cliente 260,2020-09-17,30942.86,7.89,60,2615.1,582.0,Sí,Activo,1960-10-26
100261,Cliente 261,2020-09-18,49507.67,21.27,60,3185.74,777.0,Sí,Pagado,1995-05-29
100262,Cliente 262,2020-09-19,7434.16,15.49,60,3464.47,321.0,No,Pagado,1991-08-09
100263,Cliente 263,2020-09-20,26157.32,4.67,60,3961.16,648.0,No,Pagado,1947-01-22
100264,Cliente 264,2020-09-21,43929.97,24.39,24,3785.03,788.0,Sí,En Mora,1989-04-16
